# Unicode control characters
CHARACTER TABULATION; 0009
LATIN SMALL LETTER L WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E596 
LATIN SMALL LETTER L WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E58C 
LATIN CAPITAL LETTER M WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E1B8 
LATIN CAPITAL LETTER M WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E1D2 
LATIN SMALL LETTER M WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E5B8 
LATIN SMALL LETTER M WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E5D2 
LATIN CAPITAL LETTER N WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E1DC 
LATIN SMALL LETTER N WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E5DC 
LATIN CAPITAL LETTER O WITH STROKE AND MACRON [MUFI] ; E252 
LATIN SMALL LETTER O WITH STROKE AND MACRON [MUFI] ; E652 
LATIN CAPITAL LIGATURE OE WITH MACRON [MUFI] ; E25D 
LATIN SMALL LIGATURE OE WITH MACRON [MUFI] ; E65D 
LATIN SMALL LETTER P WITH MACRON [MUFI] ; E665 
LATIN SMALL LETTER Q WITH MACRON[MUFI] ; E681 
LATIN CAPITAL LETTER V WITH MACRON [MUFI] ; E34D 
LATIN CAPITAL LETTER V WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;F7B2 
LATIN SMALL LETTER V WITH MACRON [MUFI] ; E74D 
LATIN CAPITAL LETTER W WITH MACRON [MUFI] ; E357 
LATIN SMALL LETTER W WITH MACRON [MUFI] ; E757 
LATIN CAPITAL LETTER X WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;F7B3 
LATIN CAPITAL LIGATURE AA WITH ACUTE [MUFI] ; EFE0 
LATIN SMALL LIGATURE AA WITH ACUTE [MUFI] ; EFE1 
LATIN CAPITAL LIGATURE AO WITH ACUTE [MUFI] ; EFE2 
LATIN SMALL LIGATURE AO WITH ACUTE [MUFI] ; EFE3 
LATIN CAPITAL LIGATURE AU WITH ACUTE [MUFI] ; EFE4 
LATIN SMALL LIGATURE AU WITH ACUTE [MUFI] ; EFE5 
LATIN CAPITAL LIGATURE AV WITH ACUTE [MUFI] ; EFE6 
LATIN SMALL LIGATURE AV WITH ACUTE [MUFI] ; EFE7 
LATIN CAPITAL LIGATURE AV WITH STROKE AND ACUTE [MUFI] ; EBB0 
LATIN SMALL LIGATURE AV WITH STROKE AND ACUTE [MUFI] ; EBB1 
LATIN CAPITAL LETTER B WITH ACUTE [MUFI] ; E044 
LATIN SMALL LETTER B WITH ACUTE [MUFI] ; E444 
LATIN CAPITAL LETTER D WITH ACUTE [MUFI] ; E077 
LATIN SMALL LETTER D WITH ACUTE [MUFI] ; E477 
LATIN SMALL LETTER D ROTUNDA WITH ACUTE [MUFI] ; EBB2 
LATIN CAPITAL LETTER F WITH ACUTE [MUFI] ; E0F0 
LATIN SMALL LETTER F WITH ACUTE [MUFI] ; E4F0 
LATIN CAPITAL LETTER INSULAR F WITH ACUTE [MUFI] ; EBB3 
LATIN SMALL LETTER INSULAR F WITH ACUTE [MUFI] ; EBB4 
LATIN CAPITAL LETTER H WITH ACUTE [MUFI] ; E116 
LATIN SMALL LETTER H WITH ACUTE [MUFI] ; E516 
LATIN CAPITAL LETTER J WITH ACUTE [MUFI] ; E153 
LATIN SMALL LETTER J WITH ACUTE [MUFI] ; E553 
LATIN CAPITAL LETTER M UNCIAL FORM WITH ACUTE [MUFI] ; EBB5 
LATIN MEDIUSCULE LETTER M UNCIAL FORM WITH ACUTE [MUFI] ; EBB6 
LATIN SMALL LETTER M UNCIAL FORM WITH ACUTE [MUFI] ;F23E 
LATIN CAPITAL LIGATURE OE WITH ACUTE [MUFI] ; E259 
LATIN SMALL LIGATURE OE WITH ACUTE [MUFI] ; E659 
LATIN CAPITAL LIGATURE OO WITH ACUTE [MUFI] ; EFE8 
LATIN SMALL LIGATURE OO WITH ACUTE [MUFI] ; EFE9 
LATIN SMALL LETTER R ROTUNDA WITH ACUTE [MUFI] ; EBB9 
LATIN SMALL LETTER LONG S WITH ACUTE [MUFI] ; EBAF 
LATIN CAPITAL LETTER T WITH ACUTE [MUFI] ; E2E2 
LATIN SMALL LETTER T WITH ACUTE [MUFI] ; E6E2 
LATIN CAPITAL LETTER V WITH ACUTE [MUFI] ; E33A 
LATIN SMALL LETTER V WITH ACUTE [MUFI] ; E73A 
LATIN CAPITAL LETTER INSULAR V (VEND) WITH ACUTE[MUFI] ; EBBA 
LATIN SMALL LETTER INSULAR V (VEND) WITH ACUTE[MUFI] ; EBBB 
LATIN SMALL LETTER THORN WITH ACUTE [MUFI] ; E737 
LATIN CAPITAL LETTER A WITH DOUBLE ACUTE [MUFI] ; E025 
LATIN SMALL LETTER A WITH DOUBLE ACUTE [MUFI] ; E425 
LATIN CAPITAL LIGATURE AA WITH DOUBLE ACUTE [MUFI] ; EFEA 
LATIN SMALL LIGATURE AA WITH DOUBLE ACUTE [MUFI] ; EFEB 
LATIN CAPITAL LETTER AE WITH DOUBLE ACUTE [MUFI] ; E041 
LATIN SMALL LETTER AE WITH DOUBLE ACUTE [MUFI] ; E441 
LATIN CAPITAL LIGATURE AO WITH DOUBLE ACUTE [MUFI] ; EBC0 
LATIN SMALL LIGATURE AO WITH DOUBLE ACUTE [MUFI] ; EBC1 
LATIN CAPITAL LIGATURE AV WITH DOUBLE ACUTE [MUFI] ; EBC2 
LATIN SMALL LIGATURE AV WITH DOUBLE ACUTE [MUFI] ; EBC3 
LATIN CAPITAL LETTER E WITH DOUBLE ACUTE [MUFI] ; E0D1 
LATIN SMALL LETTER E WITH DOUBLE ACUTE [MUFI] ; E4D1 
LATIN CAPITAL LETTER I WITH DOUBLE ACUTE [MUFI] ; E143 
LATIN SMALL LETTER I WITH DOUBLE ACUTE [MUFI] ; E543 
LATIN CAPITAL LETTER J WITH DOUBLE ACUTE [MUFI] ; E162 
LATIN SMALL LETTER J WITH DOUBLE ACUTE [MUFI] ; E562 
LATIN CAPITAL LETTER O WITH STROKE AND DOUBLE ACUTE [MUFI] ; EBC6 
LATIN SMALL LETTER O WITH STROKE AND DOUBLE ACUTE [MUFI] ; EBC7 
LATIN CAPITAL LIGATURE OE WITH DOUBLE ACUTE [MUFI] ; EBC8 
LATIN SMALL LIGATURE OE WITH DOUBLE ACUTE [MUFI] ; EBC9 
LATIN CAPITAL LIGATURE OO WITH DOUBLE ACUTE [MUFI] ; EFEC 
LATIN SMALL LIGATURE OO WITH DOUBLE ACUTE [MUFI] ; EFED 
LATIN CAPITAL LETTER P WITH DOUBLE ACUTE [MUFI] ; E268 
LATIN SMALL LETTER P WITH DOUBLE ACUTE [MUFI] ; E668 
LATIN CAPITAL LIGATURE UU WITH DOUBLE ACUTE [MUFI] ; EFD9 
LATIN SMALL LIGATURE UU WITH DOUBLE ACUTE [MUFI] ; EFD8 
LATIN CAPITAL LETTER V WITH DOUBLE ACUTE [MUFI] ; E34B 
LATIN SMALL LETTER V WITH DOUBLE ACUTE [MUFI] ; E74B 
LATIN CAPITAL LETTER W WITH DOUBLE ACUTE [MUFI] ; E350 
LATIN SMALL LETTER W WITH DOUBLE ACUTE [MUFI] ; E750 
LATIN CAPITAL LETTER Y WITH DOUBLE ACUTE [MUFI] ; E37C 
LATIN SMALL LETTER Y WITH DOUBLE ACUTE [MUFI] ; E77C 
LATIN CAPITAL LIGATURE YY WITH DOUBLE ACUTE [MUFI] ; EBCA 
LATIN SMALL LIGATURE YY WITH DOUBLE ACUTE [MUFI] ; EBCB 
LATIN CAPITAL LIGATURE AA WITH DOT ABOVE [MUFI] ; EFEE 
LATIN SMALL LIGATURE AA WITH DOT ABOVE [MUFI] ; EFEF 
LATIN CAPITAL LETTER AE WITH DOT ABOVE [MUFI] ; E043 
LATIN SMALL LETTER AE WITH DOT ABOVE [MUFI] ; E443 
LATIN CAPITAL LIGATURE AY WITH DOT ABOVE [MUFI] ; EFF0 
LATIN SMALL LIGATURE AY WITH DOT ABOVE [MUFI] ; EFF1 
LATIN LETTER SMALL CAPITAL B WITH DOT ABOVE [MUFI] ; EBD0 
LATIN SMALL LETTER D ROTUNDA WITH DOT ABOVE [MUFI] ; EBD1 
LATIN LETTER SMALL CAPITAL D WITH DOT ABOVE [MUFI] ; EBD2 
LATIN CAPITAL LETTER INSULAR F WITH DOT ABOVE [MUFI] ; EBD3 
LATIN SMALL LETTER INSULAR F WITH DOT ABOVE [MUFI] ; EBD4 
LATIN SMALL LETTER SEMI-CLOSED INSULAR F WITH DOT ABOVE [MUFI] ; EBD5 
LATIN SMALL LETTER CLOSED INSULAR F WITH DOT ABOVE [MUFI] ; EBD6 
LATIN LETTER SMALL CAPITAL F WITH DOT ABOVE [MUFI] ; EBD7 
LATIN LETTER SMALL CAPITAL G WITH DOT ABOVE [MUFI] ; EF20 
LATIN LETTER SMALL CAPITAL H WITH DOT ABOVE [MUFI] ; EBDA 
LATIN CAPITAL LETTER J WITH DOT ABOVE [MUFI] ; E15C 
LATIN CAPITAL LETTER K WITH DOT ABOVE [MUFI] ; E168 
LATIN SMALL LETTER K WITH DOT ABOVE [MUFI] ; E568 
LATIN LETTER SMALL CAPITAL K WITH DOT ABOVE [MUFI] ; EBDB 
LATIN CAPITAL LETTER L WITH DOT ABOVE [MUFI] ; E19E 
LATIN SMALL LETTER L WITH DOT ABOVE [MUFI] ; E59E 
LATIN LETTER SMALL CAPITAL L WITH DOT ABOVE [MUFI] ; EBDC 
LATIN LETTER SMALL CAPITAL M WITH DOT ABOVE [MUFI] ; EBDD 
LATIN LETTER SMALL CAPITAL N WITH DOT ABOVE [MUFI] ; EF21 
LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE [MUFI] ; EBCD 
LATIN SMALL LETTER O WITH STROKE AND DOT ABOVE [MUFI] ; EBCE 
LATIN LETTER SMALL CAPITAL P WITH DOT ABOVE [MUFI] ; EBCF 
LATIN CAPITAL LETTER Q WITH DOT ABOVE [MUFI] ; E282 
LATIN SMALL LETTER Q WITH DOT ABOVE [MUFI] ; E682 
LATIN LETTER SMALL CAPITAL R WITH DOT ABOVE [MUFI] ; EF22 
LATIN LETTER SMALL CAPITAL S WITH DOT ABOVE [MUFI] ; EF23 
LATIN LETTER SMALL CAPITAL T WITH DOT ABOVE [MUFI] ; EF24 
LATIN CAPITAL LETTER U WITH DOT ABOVE [MUFI] ; E315 
LATIN SMALL LETTER U WITH DOT ABOVE [MUFI] ; E715 
LATIN CAPITAL LETTER V WITH DOT ABOVE [MUFI] ; E34C 
LATIN SMALL LETTER V WITH DOT ABOVE [MUFI] ; E74C 
LATIN CAPITAL LETTER INSULAR V (VEND) WITH DOT ABOVE[MUFI] ; E3E7 
LATIN SMALL LETTER INSULAR V (VEND) WITH DOT ABOVE[MUFI] ; E7E7 
LATIN CAPITAL LIGATURE AA WITH DOT BELOW [MUFI] ; EFF2 
LATIN SMALL LIGATURE AA WITH DOT BELOW [MUFI] ; EFF3 
LATIN CAPITAL LETTER AE WITH DOT BELOW [MUFI] ; E036 
LATIN SMALL LETTER AE WITH DOT BELOW [MUFI] ; E436 
LATIN CAPITAL LIGATURE AO WITH DOT BELOW [MUFI] ; EFF4 
LATIN SMALL LIGATURE AO WITH DOT BELOW [MUFI] ; EFF5 
LATIN CAPITAL LIGATURE AU WITH DOT BELOW [MUFI] ; EFF6 
LATIN SMALL LIGATURE AU WITH DOT BELOW [MUFI] ; EFF7 
LATIN CAPITAL LIGATURE AV WITH DOT BELOW [MUFI] ; EFF8 
LATIN SMALL LIGATURE AV WITH DOT BELOW [MUFI] ; EFF9 
LATIN CAPITAL LIGATURE AY WITH DOT BELOW [MUFI] ; EFFA 
LATIN SMALL LIGATURE AY WITH DOT BELOW [MUFI] ; EFFB 
LATIN LETTER SMALL CAPITAL B WITH DOT BELOW [MUFI] ; EF25 
LATIN CAPITAL LETTER C WITH DOT BELOW [MUFI] ; E066 
LATIN SMALL LETTER C WITH DOT BELOW [MUFI] ; E466 
LATIN LETTER SMALL CAPITAL D WITH DOT BELOW [MUFI] ; EF26 
LATIN CAPITAL LETTER ETH WITH DOT BELOW [MUFI] ; E08F 
LATIN SMALL LETTER ETH WITH DOT BELOW [MUFI] ; E48F 
LATIN CAPITAL LETTER F WITH DOT BELOW [MUFI] ; E0EE 
LATIN SMALL LETTER F WITH DOT BELOW [MUFI] ; E4EE 
LATIN CAPITAL LETTER INSULAR F WITH DOT BELOW [MUFI] ; E3E5 
LATIN SMALL LETTER INSULAR F WITH DOT BELOW [MUFI] ; E7E5 
LATIN CAPITAL LETTER G WITH DOT BELOW [MUFI] ; E101 
LATIN SMALL LETTER G WITH DOT BELOW [MUFI] ; E501 
LATIN LETTER SMALL CAPITAL G WITH DOT BELOW [MUFI] ; EF27 
LATIN CAPITAL LETTER J WITH DOT BELOW [MUFI] ; E151 
LATIN SMALL LETTER J WITH DOT BELOW [MUFI] ; E551 
LATIN LETTER SMALL CAPITAL L WITH DOT BELOW [MUFI] ; EF28 
LATIN LETTER SMALL CAPITAL M WITH DOT BELOW [MUFI] ; EF29 
LATIN LETTER SMALL CAPITAL N WITH DOT BELOW [MUFI] ; EF2A 
LATIN CAPITAL LETTER O WITH STROKE AND DOT BELOW [MUFI] ; EBE0 
LATIN SMALL LETTER O WITH STROKE AND DOT BELOW [MUFI] ; EBE1 
LATIN CAPITAL LIGATURE OO WITH DOT BELOW [MUFI] ; EFFC 
LATIN SMALL LIGATURE OO WITH DOT BELOW [MUFI] ; EFFD 
LATIN CAPITAL LETTER P WITH DOT BELOW [MUFI] ; E26D 
LATIN SMALL LETTER P WITH DOT BELOW [MUFI] ; E66D 
LATIN CAPITAL LETTER Q WITH DOT BELOW[MUFI] ; E288 
LATIN SMALL LETTER Q WITH DOT BELOW[MUFI] ; E688 
LATIN LETTER SMALL CAPITAL R WITH DOT BELOW [MUFI] ; EF2B 
LATIN SMALL LETTER R ROTUNDA WITH DOT BELOW [MUFI] ; E7C1 
LATIN LETTER SMALL CAPITAL S WITH DOT BELOW [MUFI] ; EF2C 
LATIN SMALL LETTER LONG S WITH DOT BELOW [MUFI] ; E7C2 
LATIN LETTER SMALL CAPITAL T WITH DOT BELOW [MUFI] ; EF2D 
LATIN CAPITAL LETTER INSULAR V (VEND) WITH DOT BELOW[MUFI] ; E3E6 
LATIN SMALL LETTER INSULAR V (VEND) WITH DOT BELOW[MUFI] ; E7E6 
LATIN CAPITAL LETTER THORN WITH DOT BELOW [MUFI] ; E39F 
LATIN SMALL LETTER THORN WITH DOT BELOW [MUFI] ; E79F 
LATIN CAPITAL LIGATURE AA WITH DIAERESIS [MUFI] ; EFFE 
LATIN SMALL LIGATURE AA WITH DIAERESIS [MUFI] ; EFFF 
LATIN CAPITAL LETTER AE WITH DIAERESIS [MUFI] ; E042 
LATIN SMALL LETTER AE WITH DIAERESIS [MUFI] ; E442 
LATIN CAPITAL LETTER J WITH DIAERESIS [MUFI] ; EBE2 
LATIN SMALL LETTER J WITH DIAERESIS [MUFI] ; EBE3 
LATIN CAPITAL LIGATURE OO WITH DIAERESIS [MUFI] ; EBE4 
LATIN SMALL LIGATURE OO WITH DIAERESIS [MUFI] ; EBE5 
LATIN CAPITAL LIGATURE PP WITH DIAERESIS [MUFI] ; EBE6 
LATIN SMALL LIGATURE PP WITH DIAERESIS [MUFI] ; EBE7 
LATIN CAPITAL LETTER V WITH DIAERESIS [MUFI] ; E342 
LATIN SMALL LETTER V WITH DIAERESIS [MUFI] ; E742 
LATIN CAPITAL LIGATURE YY WITH DIAERESIS [MUFI] ; EBE8 
LATIN SMALL LIGATURE YY WITH DIAERESIS [MUFI] ; EBE9 
LATIN CAPITAL LETTER A WITH CURL [MUFI] ; E033 
LATIN SMALL LETTER A WITH CURL [MUFI] ; E433 
LATIN CAPITAL LETTER AE WITH CURL [MUFI] ; EBEA 
LATIN SMALL LETTER AE WITH CURL [MUFI] ; EBEB 
LATIN CAPITAL LETTER E WITH CURL [MUFI] ; E0E9 
LATIN SMALL LETTER E WITH CURL [MUFI] ; E4E9 
LATIN CAPITAL LETTER I WITH CURL [MUFI] ; E12A 
LATIN SMALL LETTER I WITH CURL [MUFI] ; E52A 
LATIN CAPITAL LETTER J WITH CURL [MUFI] ; E163 
LATIN SMALL LETTER J WITH CURL [MUFI] ; E563 
LATIN CAPITAL LETTER O WITH CURL [MUFI] ; E3D3 
LATIN SMALL LETTER O WITH CURL [MUFI] ; E7D3 
LATIN CAPITAL LETTER O WITH STROKE AND CURL [MUFI] ; E3D4 
LATIN SMALL LETTER O WITH STROKE AND CURL [MUFI] ; E7D4 
LATIN CAPITAL LETTER U WITH CURL [MUFI] ; E331 
LATIN SMALL LETTER U WITH CURL [MUFI] ; E731 
LATIN CAPITAL LETTER Y WITH CURL [MUFI] ; E385 
LATIN SMALL LETTER Y WITH CURL [MUFI] ; E785 
LATIN CAPITAL LETTER AE WITH OGONEK [MUFI] ; E040 
LATIN SMALL LETTER AE WITH OGONEK [MUFI] ; E440 
LATIN CAPITAL LIGATURE AV WITH OGONEK [MUFI] ; EBF0 
LATIN SMALL LIGATURE AV WITH OGONEK [MUFI] ; EBF1 
LATIN CAPITAL LETTER C WITH OGONEK [MUFI] ; E076 
LATIN SMALL LETTER C WITH OGONEK [MUFI] ; E476 
LATIN SMALL LETTER DOTLESS I WITH OGONEK [MUFI] ; E8DD 
LATIN CAPITAL LETTER O WITH STROKE AND OGONEK [MUFI] ; E255 
LATIN SMALL LETTER O WITH STROKE AND OGONEK [MUFI] ; E655 
LATIN CAPITAL LIGATURE OE WITH OGONEK [MUFI] ; E262 
LATIN SMALL LIGATURE OE WITH OGONEK [MUFI] ; E662 
LATIN CAPITAL LETTER T WITH OGONEK [MUFI] ; E2EE 
LATIN SMALL LETTER T WITH OGONEK [MUFI] ; E6EE 
LATIN CAPITAL LETTER AE WITH BREVE [MUFI] ; E03F 
LATIN SMALL LETTER AE WITH BREVE [MUFI] ; E43F 
LATIN CAPITAL LETTER O WITH STROKE AND BREVE [MUFI] ; EBEE 
LATIN SMALL LETTER O WITH STROKE AND BREVE [MUFI] ; EBEF 
LATIN CAPITAL LETTER Y WITH BREVE [MUFI] ; E376 
LATIN SMALL LETTER Y WITH BREVE [MUFI] ; E776 
LATIN SMALL LETTER I WITH INVERTED BREVE BELOW [MUFI] ; E548 
LATIN SMALL LETTER U WITH INVERTED BREVE BELOW [MUFI] ; E727 
LATIN SMALL LETTER N WITH CIRCUMFLEX [MUFI] ; E5D7 
LATIN CAPITAL LETTER V WITH CIRCUMFLEX [MUFI] ; E33B 
LATIN SMALL LETTER V WITH CIRCUMFLEX [MUFI] ; E73B 
LATIN SMALL LETTER EA WITH CIRCUMFLEX [MUFI] ; EBBD 
LATIN SMALL LETTER EU WITH CIRCUMFLEX [MUFI] ; EBBE 
LATIN SMALL LETTER AE WITH RING ABOVE [MUFI] ; E8D1 
LATIN SMALL LETTER E WITH RING ABOVE [MUFI] ; E4CF 
LATIN SMALL LETTER O WITH RING ABOVE [MUFI] ; E637 
LATIN SMALL LETTER V WITH RING ABOVE [MUFI] ; E743 
LATIN SMALL LETTER L WITH RING BELOW [MUFI] ; E5A4 
LATIN SMALL LETTER M WITH RING BELOW [MUFI] ; E5C5 
LATIN SMALL LETTER N WITH RING BELOW [MUFI] ; E5EE 
LATIN SMALL LETTER R WITH RING BELOW [MUFI] ; E6A3 
LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER AND TILDE[MUFI] ; E68B 
LATIN CAPITAL LETTER V WITH VERTICAL LINE ABOVE [MUFI] ; E34E 
LATIN SMALL LETTER V WITH VERTICAL LINE ABOVE [MUFI] ; E74F 
LATIN CAPITAL LETTER A WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E02C 
LATIN SMALL LETTER A WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E42C 
LATIN SMALL LETTER A WITH LATIN SMALL LETTER I ABOVE [MUFI] ; E8E0 
LATIN SMALL LETTER A WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E42D 
LATIN SMALL LETTER A WITH LATIN SMALL LETTER U ABOVE [MUFI] ; E8E1 
LATIN SMALL LETTER A WITH LATIN SMALL LETTER V ABOVE [MUFI] ; E42E 
LATIN CAPITAL LETTER E WITH LATIN SMALL LETTER A ABOVE [MUFI] ; E0E1 
LATIN SMALL LETTER E WITH LATIN SMALL LETTER A ABOVE [MUFI] ; E4E1 
LATIN SMALL LETTER E WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E8E2 
LATIN SMALL LETTER E WITH LATIN SMALL LETTER I ABOVE [MUFI] ; E4E2 
LATIN SMALL LETTER E WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E8E3 
LATIN SMALL LETTER E WITH LATIN SMALL LETTER V ABOVE [MUFI] ; E4E3 
LATIN SMALL LETTER I WITH LATIN SMALL LETTER A ABOVE [MUFI] ; E8E4 
LATIN SMALL LETTER I WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E54A 
LATIN SMALL LETTER I WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E8E5 
LATIN SMALL LETTER I WITH LATIN SMALL LETTER U ABOVE [MUFI] ; E8E6 
LATIN SMALL LETTER I WITH LATIN SMALL LETTER V ABOVE [MUFI] ; E54B 
LATIN SMALL LETTER J WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E8E7 
LATIN SMALL LETTER M WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E8E8 
LATIN SMALL LETTER O WITH LATIN SMALL LETTER A ABOVE [MUFI] ; E643 
LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E244 
LATIN SMALL LETTER O WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E644 
LATIN SMALL LETTER O WITH LATIN SMALL LETTER I ABOVE [MUFI] ; E645 
LATIN SMALL LETTER O WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E8E9 
LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER U ABOVE [MUFI] ; E246 
LATIN SMALL LETTER O WITH LATIN SMALL LETTER U ABOVE [MUFI] ; E646 
LATIN SMALL LETTER O WITH LATIN SMALL LETTER V ABOVE [MUFI] ; E647 
LATIN SMALL LETTER R WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E8EA 
LATIN SMALL LETTER U WITH LATIN SMALL LETTER A ABOVE [MUFI] ; E8EB 
LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E32B 
LATIN SMALL LETTER U WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E72B 
LATIN SMALL LETTER U WITH LATIN SMALL LETTER I ABOVE [MUFI] ; E72C 
LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E32D 
LATIN SMALL LETTER U WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E72D 
LATIN SMALL LETTER U WITH LATIN SMALL LETTER V ABOVE [MUFI] ; E8EC 
LATIN SMALL LETTER U WITH LATIN SMALL LETTER W ABOVE [MUFI] ; E8ED 
LATIN SMALL LETTER Y WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E781 
LATIN SMALL LETTER W WITH LATIN SMALL LETTER A ABOVE [MUFI] ; E8F0 
LATIN CAPITAL LETTER W WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E353 
LATIN SMALL LETTER W WITH LATIN SMALL LETTER E ABOVE [MUFI] ; E753 
LATIN SMALL LETTER W WITH LATIN SMALL LETTER I ABOVE [MUFI] ; E8F1 
LATIN SMALL LETTER W WITH LATIN SMALL LETTER O ABOVE [MUFI] ; E754 
LATIN SMALL LETTER W WITH LATIN SMALL LETTER U ABOVE [MUFI] ; E8F2 
LATIN SMALL LETTER W WITH LATIN SMALL LETTER V ABOVE [MUFI] ; E8F3 
LATIN CAPITAL LETTER A WITH DOT ABOVE AND ACUTE [MUFI] ; EBF4 
LATIN SMALL LETTER A WITH DOT ABOVE AND ACUTE [MUFI] ; EBF5 
LATIN CAPITAL LETTER AE WITH DOT ABOVE AND ACUTE [MUFI] ; EFDB 
LATIN SMALL LETTER AE WITH DOT ABOVE AND ACUTE [MUFI] ; EFDC 
LATIN CAPITAL LETTER E WITH DOT ABOVE AND ACUTE [MUFI] ; E0C8 
LATIN SMALL LETTER E WITH DOT ABOVE AND ACUTE [MUFI] ; E4C8 
LATIN CAPITAL LETTER I WITH DOT ABOVE AND ACUTE [MUFI] ; EBF6 
LATIN SMALL LETTER I WITH DOT ABOVE AND ACUTE [MUFI] ; EBF7 
LATIN CAPITAL LETTER O WITH DOT ABOVE AND ACUTE [MUFI] ; EBF8 
LATIN SMALL LETTER O WITH DOT ABOVE AND ACUTE [MUFI] ; EBF9 
LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE [MUFI] ; EBFC 
LATIN SMALL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE [MUFI] ; EBFD 
LATIN CAPITAL LETTER U WITH DOT ABOVE AND ACUTE [MUFI] ; EBFE 
LATIN SMALL LETTER U WITH DOT ABOVE AND ACUTE [MUFI] ; EBFF 
LATIN CAPITAL LETTER A WITH OGONEK AND ACUTE [MUFI] ; E004 
LATIN SMALL LETTER A WITH OGONEK AND ACUTE [MUFI] ; E404 
LATIN SMALL LETTER AE WITH OGONEK AND ACUTE [MUFI] ; E8D3 
LATIN CAPITAL LETTER E WITH OGONEK AND ACUTE [MUFI] ; E099 
LATIN SMALL LETTER E WITH OGONEK AND ACUTE [MUFI] ; E499 
LATIN CAPITAL LETTER O WITH OGONEK AND ACUTE [MUFI] ; E20C 
LATIN SMALL LETTER O WITH OGONEK AND ACUTE [MUFI] ; E60C 
LATIN CAPITAL LETTER O WITH STROKE AND OGONEK AND ACUTE [MUFI] ; E257 
LATIN SMALL LETTER O WITH STROKE AND OGONEK AND ACUTE [MUFI] ; E657 
LATIN CAPITAL LETTER E WITH OGONEK AND DOUBLE ACUTE [MUFI] ; E0EA 
LATIN SMALL LETTER E WITH OGONEK AND DOUBLE ACUTE [MUFI] ; E4EA 
LATIN CAPITAL LETTER O WITH OGONEK AND DOUBLE ACUTE [MUFI] ; EBC4 
LATIN CAPITAL LETTER E WITH OGONEK AND DOT ABOVE [MUFI] ; E0EB 
LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE [MUFI] ; E4EB 
LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE [MUFI] ; EBDE 
LATIN SMALL LETTER O WITH OGONEK AND DOT ABOVE [MUFI] ; EBDF 
LATIN CAPITAL LETTER E WITH OGONEK AND DOT BELOW [MUFI] ; E0E8 
LATIN SMALL LETTER E WITH OGONEK AND DOT BELOW [MUFI] ; E4E8 
LATIN CAPITAL LETTER O WITH OGONEK AND DOT BELOW [MUFI] ; E208 
LATIN SMALL LETTER O WITH OGONEK AND DOT BELOW [MUFI] ; E608 
LATIN SMALL LETTER E WITH DIAERESIS AND MACRON [MUFI] ; E4CD 
LATIN SMALL LETTER A WITH DIAERESIS AND CIRCUMFLEX [MUFI] ; E41A 
LATIN CAPITAL LETTER O WITH DIAERESIS AND CIRCUMFLEX [MUFI] ; E22D 
LATIN SMALL LETTER O WITH DIAERESIS AND CIRCUMFLEX [MUFI] ; E62D 
LATIN CAPITAL LETTER U WITH DIAERESIS AND CIRCUMFLEX [MUFI] ; E317 
LATIN SMALL LETTER E WITH OGONEK AND CURL [MUFI] ; EBF3 
LATIN CAPITAL LETTER O WITH OGONEK AND CURL [MUFI] ; E24F 
